description,index,ingredients,name,time
1. Pour can of beef broth into slow cooker/ and add boneless pork ribs. Cook on High heat for 4 hours/ or until meat shreds easily. Remove meat/ and shred with two forks. It will seem that it's not working right away/ but it will.$2. Preheat oven to 350 degrees F (175 degrees C). Transfer the shredded pork to a Dutch oven or iron skillet/ and stir in barbeque sauce.$3. Bake in the preheated oven for 30 minutes/ or until heated through. ,0,1 (14 ounce) can beef broth$1 (18 ounce) bottle barbeque sauce $3 pounds boneless pork ribs$,BBQ Pork for Sandwiches,270
1. In a medium glass bowl/ prepare marinade by mixing garlic/ light olive oil/ basil/ salt/ pepper/ lemon juice and parsley. Place salmon fillets in a medium glass baking dish/ and cover with the marinade. Marinate in the refrigerator about 1 hour/ turning occasionally.$2. Preheat oven to 375 degrees F (190 degrees C).$3. Place fillets in aluminum foil/ cover with marinade/ and seal. Place sealed salmon in the glass dish/ and bake 35 to 45 minutes/ until easily flaked with a fork. ,1,1 tablespoon fresh parsley/ chopped$1 tablespoon lemon juice$1 teaspoon dried basil$1 teaspoon ground black pepper$1 teaspoon salt$2 (6 ounce) fillets salmon $2 cloves garlic/ minced$6 tablespoons light olive oil$,Baked Salmon II,45
Step 1: In a small saucepan over low heat/ combine the cornstarch/ cold water/ sugar/ soy sauce/ vinegar/ garlic/ ginger and ground black pepper. Let simmer/ stirring frequently/ until sauce thickens and bubbles.$ Step 2: Preheat oven to 425 degrees F (220 degrees C).$ Step 3: Place chicken pieces in a lightly greased 9x13 inch baking dish. Brush chicken with the sauce. Turn pieces over/ and brush again.$ Step 4Bake in the preheated oven for 30 minutes. Turn pieces over/ and bake for another 30 minutes/ until no longer pink and juices run clear. Brush with sauce every 10 minutes during cooking. ,2,1 clove garlic/ minced$1 tablespoon cold water$1 tablespoon cornstarch$12 skinless chicken thighs $½ cup soy sauce$½ cup white sugar$½ teaspoon ground ginger$¼ cup cider vinegar$¼ teaspoon ground black pepper$,Baked Teriyaki Chicken,60
1. Combine flour/ white sugar/ baking powder and salt. In a separate bowl/ mix together egg/ milk/ vegetable oil and bananas.$2. Stir flour mixture into banana mixture; batter will be slightly lumpy.$3. Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle/ using approximately 1/4 cup for each pancake. Cook until pancakes are golden brown on both sides; serve hot. ,3,1 cup all-purpose flour$1 cup milk$1 egg/ beaten$1 tablespoon white sugar$1/4 teaspoon salt$2 ripe bananas/ mashed $2 tablespoons vegetable oil$2 teaspoons baking powder$,Banana Pancakes I,10
1. Preheat an oven to 375 degrees F (190 degrees C). Prepare a baking sheet with cooking spray. Arrange the bacon on the prepared baking sheet/ and sprinkle with 2 tablespoons brown sugar. Bake in the preheated oven until the bacon is crispy and the brown sugar is caramelized/ 10 to 15 minutes. Immediately remove the bacon to a cutting board; cut into small pieces and set aside.$2. Preheat a waffle iron; grease with cooking spray.$3. Whisk the flour/ 1/2 cup brown sugar/ baking powder/ baking soda/ and salt together in a large bowl. Beat the eggs/ buttermilk/ vegetable oil/ and vanilla together in a separate bowl; fold the wet mixture into the flour mixture. Add the bacon and stir/ being careful to not over mix.$4. Ladle the batter into the preheated waffle iron and cook until golden brown; serve hot. ,4,1 tablespoon baking powder$1 teaspoon baking soda$1 teaspoon salt$1/2 cup brown sugar$1/2 teaspoon vanilla extract $2 1/2 cups buttermilk$2 tablespoons brown sugar$2/3 cup vegetable oil$3 cups flour$4 eggs$8 slices bacon$,Brown Sugar Bacon Waffles,30
1. Preheat oven to 350 degrees F (175 degrees C).$2. In a large skillet over medium heat/ saute the ground beef for 5 minutes. Add the onion and garlic/ and saute for 5 more minutes. Drain any excess fat/ if desired. Mix in the olives/ green chile peppers/ tomatoes with green chile peppers/ taco sauce and refried beans. Stir mixture thoroughly/ reduce heat to low/ and let simmer for 15 to 20 minutes.$3. Spread a thin layer of the meat mixture in the bottom of a 4 quart casserole dish. Cover with a layer of tortillas followed by more meat mixture/ then a layer of cheese. Repeat tortilla/ meat/ cheese pattern until all the tortillas are used/ topping off with a layer of meat mixture and cheese.$4. Bake for 20 to 30 minutes in the preheated oven/ or until cheese is slightly brown and bubbly. ,5,1 (10 ounce) can diced tomatoes with green chile peppers$1 (16 ounce) jar taco sauce$1 (2 ounce) can black olives/ sliced$1 (4 ounce) can diced green chili peppers$1 onion/ chopped$12 (8 inch) flour tortillas$2 (16 ounce) cans refried beans$2 pounds ground beef$2 teaspoons minced garlic$9 ounces shredded Colby cheese $,Burrito Pie,30
1. In a large bowl/ mix together flour/ salt/ baking powder and sugar; set aside. Preheat waffle iron to desired temperature.$2. In a separate bowl/ beat the eggs. Stir in the milk/ butter and vanilla. Pour the milk mixture into the flour mixture; beat until blended.$3. Ladle the batter into a preheated waffle iron. Cook the waffles until golden and crisp. Serve immediately. ,6,1 1/2 cups warm milk$1 teaspoon salt$1 teaspoon vanilla extract $1/3 cup butter/ melted$2 cups all-purpose flour$2 eggs$2 tablespoons white sugar$4 teaspoons baking powder$,Classic Waffles,15
Step 1: Bring a large pot of lightly salted water to a boil. Add linguini pasta/ and cook for 8 to 10 minutes/ or until al dente; drain.$ Step 2: Meanwhile/ place chicken and Cajun seasoning in a bowl/ and toss to coat.$ Step 3: In a large skillet over medium heat/ saute chicken in butter until no longer pink and juices run clear/ about 5 to 7 minutes. Add green and red bell peppers/ sliced mushrooms and green onions; cook for 2 to 3 minutes. Reduce heat/ and stir in heavy cream. Season the sauce with basil/ lemon pepper/ salt/ garlic powder and ground black pepper/ and heat through.$ Step 4In a large bowl/ toss linguini with sauce. Sprinkle with grated Parmesan cheese. ,7,1 green bell pepper/ chopped$1 green onion/ minced$1 ½ cups heavy cream$2 boneless/ skinless chicken breast halves/ sliced into thin strips$2 tablespoons butter$2 tablespoons grated Parmesan cheese $2 teaspoons Cajun seasoning$4 fresh mushrooms/ sliced$4 ounces linguine pasta$½ red bell pepper/ chopped$¼ teaspoon dried basil$¼ teaspoon lemon pepper$¼ teaspoon salt$⅛ teaspoon garlic powder$⅛ teaspoon ground black pepper$,Creamy Cajun Chicken Pasta,15
1. Bake biscuits according to package directions.$2. Meanwhile/ cook sausage in large skillet over medium heat 5-6 minutes or until thoroughly heated/ stirring frequently. Stir in flour. Gradually add milk; cook until mixture comes to a boil and thickens/ stirring constantly. Reduce heat to medium-low; simmer 2 minutes/ stirring constantly. Season to taste with salt and pepper.$3. Split biscuits in half. Place 2 halves on each of 8 plates; top with about 1/3 cup gravy. ,8,1 (16 ounce) can refrigerated jumbo buttermilk biscuits$1 (9.6 ounce) package Jimmy Dean(R) Original Hearty Pork Sausage Crumbles$1/4 cup flour$2 1/2 cups milk$Salt and ground black pepper to taste $,Easy Sausage Gravy and Biscuits,10
1. Combine milk with vinegar in a medium bowl and set aside for 5 minutes to sour.$2. Combine flour/ sugar/ baking powder/ baking soda/ and salt in a large mixing bowl. Whisk egg and butter into soured milk. Pour the flour mixture into the wet ingredients and whisk until lumps are gone.$3. Heat a large skillet over medium heat/ and coat with cooking spray. Pour 1/4 cupfuls of batter onto the skillet/ and cook until bubbles appear on the surface. Flip with a spatula/ and cook until browned on the other side. ,9,1 cup all-purpose flour$1 egg$1 teaspoon baking powder$1/2 teaspoon baking soda$1/2 teaspoon salt$2 tablespoons butter/ melted$2 tablespoons white sugar$2 tablespoons white vinegar$3/4 cup milk$cooking spray $,Fluffy Pancakes,10
Step 1: Place crackers in a large resealable plastic bag; seal bag and crush crackers with a rolling pin until they are coarse crumbs. Add the flour/ potato flakes/ seasoned salt/ and pepper and mix well.$ Step 2: Beat egg in a shallow dish or bowl. One by one/ dredge chicken pieces in egg/ then place in bag with crumb mixture. Seal bag and shake to coat.$ Step 3: Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C).$ Step 4: Fry chicken/ turning frequently/ until golden brown and juices run clear/ 15 to 20 minutes. ,10,1 egg$1 teaspoon seasoned salt$2 cups vegetable oil for frying $2 tablespoons all-purpose flour$2 tablespoons dry potato flakes$30 saltine crackers$6 skinless/ boneless chicken breast halves$½ teaspoon ground black pepper$,Fried Chicken,20
1. In a large bowl/ sift together the flour/ baking powder/ salt and sugar. Make a well in the center and pour in the milk/ egg and melted butter; mix until smooth.$2. Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle/ using approximately 1/4 cup for each pancake. Brown on both sides and serve hot. ,11,1 1/2 cups all-purpose flour$1 1/4 cups milk$1 egg$1 tablespoon white sugar$1 teaspoon salt$3 1/2 teaspoons baking powder$3 tablespoons butter/ melted $,Good Old Fashioned Pancakes,15
Step 1: Preheat oven to 425 degrees F (220 degrees C). Lightly oil a large roasting pan.$ Step 2: Place chicken pieces in large bowl. Season with salt/ oregano/ pepper/ rosemary/ and cayenne pepper. Add fresh lemon juice/ olive oil/ and garlic. Place potatoes in bowl with the chicken; stir together until chicken and potatoes are evenly coated with marinade.$ Step 3: Transfer chicken pieces/ skin side up/ to prepared roasting pan/ reserving marinade. Distribute potato pieces among chicken thighs. Drizzle with 2/3 cup chicken broth. Spoon remainder of marinade over chicken and potatoes.$ Step 4: Place in preheated oven. Bake in the preheated oven for 20 minutes. Toss chicken and potatoes/ keeping chicken skin side up; continue baking until chicken is browned and cooked through/ about 25 minutes more. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). Transfer chicken to serving platter and keep warm.$ Step 5Set oven to broil or highest heat setting. Toss potatoes once again in pan juices. Place pan under broiler and broil until potatoes are caramelized/ about 3 minutes. Transfer potatoes to serving platter with chicken.$ Step 6Place roasting pan on stove over medium heat. Add a splash of broth and stir up browned bits from the bottom of the pan. Strain; spoon juices over chicken and potatoes. Top with chopped oregano. ,12,1 pinch cayenne pepper$1 tablespoon dried oregano$1 tablespoon kosher salt$1 teaspoon dried rosemary$1 teaspoon freshly ground black pepper$3 russet potatoes/ peeled and quartered$4 pounds skin-on/ bone-in chicken thighs$6 cloves garlic/ minced$chopped fresh oregano for garnish $½ cup fresh lemon juice$½ cup olive oil$⅔ cup chicken broth/ plus splash to deglaze pan$,Greek Lemon Chicken and Potatoes,50
1. Season salmon fillets with lemon pepper/ garlic powder/ and salt.$2. In a small bowl/ stir together soy sauce/ brown sugar/ water/ and vegetable oil until sugar is dissolved. Place fish in a large resealable plastic bag with the soy sauce mixture/ seal/ and turn to coat. Refrigerate for at least 2 hours.$3. Preheat grill for medium heat.$4. Lightly oil grill grate. Place salmon on the preheated grill/ and discard marinade. Cook salmon for 6 to 8 minutes per side/ or until the fish flakes easily with a fork. ,13,1 1/2 pounds salmon fillets$1/3 cup brown sugar$1/3 cup soy sauce$1/3 cup water$1/4 cup vegetable oil $garlic powder to taste$lemon pepper to taste$salt to taste$,Grilled Salmon I,16
1. In a large bowl/ mix together the ground beef/ egg/ bread crumbs/ pepper/ salt/ onion powder/ garlic powder/ and Worcestershire sauce. Form into 8 balls/ and flatten into patties.$2. Heat the oil in a large skillet over medium heat. Fry the patties and onion in the oil until patties are nicely browned/ about 4 minutes per side. Remove the beef patties to a plate/ and keep warm.$3. Sprinkle flour over the onions and drippings in the skillet. Stir in flour with a fork/ scraping bits of beef off of the bottom as you stir. Gradually mix in the beef broth and sherry. Season with seasoned salt. Simmer and stir over medium-low heat for about 5 minutes/ until the gravy thickens. Turn heat to low/ return patties to the gravy/ cover/ and simmer for another 15 minutes. ,14,1 cup beef broth$1 cup thinly sliced onion$1 egg$1 pound ground beef$1 tablespoon cooking sherry$1 tablespoon vegetable oil$1 teaspoon Worcestershire sauce$1/2 teaspoon garlic powder$1/2 teaspoon onion powder$1/2 teaspoon seasoned salt$1/2 teaspoon seasoned salt $1/4 cup bread crumbs$1/8 teaspoon ground black pepper$2 tablespoons all-purpose flour$,Hamburger Steak with Onions and Gravy,25
1. In a small bowl/ mix the maple syrup/ soy sauce/ garlic/ garlic salt/ and pepper.$2. Place salmon in a shallow glass baking dish/ and coat with the maple syrup mixture. Cover the dish/ and marinate salmon in the refrigerator 30 minutes/ turning once.$3. Preheat oven to 400 degrees F (200 degrees C).$4. Place the baking dish in the preheated oven/ and bake salmon uncovered 20 minutes/ or until easily flaked with a fork. ,15,1 clove garlic/ minced$1 pound salmon $1/4 cup maple syrup$1/4 teaspoon garlic salt$1/8 teaspoon ground black pepper$2 tablespoons soy sauce$,Maple Salmon,20
1. Combine water with salt/ ground black pepper/ oregano/ basil/ onion salt/ parsley/ garlic powder/ bay leaf/ and salad dressing mix in a saucepan. Stir well/ and bring to a boil.$2. Place roast in slow cooker/ and pour salad dressing mixture over the meat.$3. Cover/ and cook on Low for 10 to 12 hours/ or on High for 4 to 5 hours. When done/ remove bay leaf/ and shred meat with a fork. ,16,1 (.7 ounce) package dry Italian-style salad dressing mix$1 (5 pound) rump roast $1 bay leaf$1 teaspoon dried basil$1 teaspoon dried oregano$1 teaspoon dried parsley$1 teaspoon garlic powder$1 teaspoon ground black pepper$1 teaspoon onion salt$1 teaspoon salt$3 cups water$,Slow Cooker Italian Beef for Sandwiches,720
1. Melt butter in a skillet over medium heat; add onion and cook for 1 minute. Add spinach and cook/ stirring occasionally/ until starting to wilt/ about 1 minute. Cover skillet and cook for 1 minute more/ allowing condensation to build inside the skillet. Remove from heat/ uncover/ and stir.$2. Preheat the oven to 375 degrees F (190 degrees C). Press pie pastry into a 9 1/2-inch deep-dish pie pan. Prick bottom and sides with a fork.$3. Bake crust in the preheated oven for 10 minutes. Remove from oven and set aside.$4. Combine eggs/ ricotta cheese/ cream/ Parmigiano Reggiano cheese/ basil/ salt/ and pepper in a blender or food processor. Blend until smooth.$5. Spread spinach and onion mixture evenly over the crust. Pour egg mixture on top.$6. Bake in the preheated oven until center of quiche is set and the top is lightly browned/ about 40 minutes. Allow to stand for 10 minutes before serving. ,17,1 (8 ounce) package fresh spinach$1 tablespoon butter$1 tablespoon chopped fresh basil$1/2 (14 ounce) package pastry for 9-inch double-crust pie$1/2 teaspoon salt$1/3 cup finely chopped red onion$1/3 cup grated Parmigiano-Reggiano cheese$1/4 teaspoon ground black pepper $3/4 cup heavy cream$3/4 cup whole-milk ricotta cheese$4 large eggs$,Spinach-Ricotta Quiche,55
1. Place mint/ strawberries/ yogurt/ almond milk/ and avocado into an electric blender and blend until smooth.,18,1 cup vanilla-flavored almond milk$1 small avocado/ cut into chunks $16 fresh mint leaves/ torn in half$2 (5.3 ounce) containers nonfat strawberry-flavored Greek yogurt (such as Dannon(R) Light & Fit) $2 cups frozen strawberries$,Strawberry-Avocado-Mint Smoothie,10
1. 밀가루 반죽함 2. 쏘스 추가 3. 토핑 4. 굽는다,19,밀가루 500그램$사이다$초코$치즈$케챱$피망$,피자,50
